code,Field title
25484,Mean ISOVF in uncinate fasciculus on FA skeleton (right)
25223,Mean L1 in anterior corona radiata on FA skeleton (left)
25222,Mean L1 in anterior corona radiata on FA skeleton (right)
25217,Mean L1 in anterior limb of internal capsule on FA skeleton (left)
25216,Mean L1 in anterior limb of internal capsule on FA skeleton (right)
25203,Mean L1 in body of corpus callosum on FA skeleton
25215,Mean L1 in cerebral peduncle on FA skeleton (left)
25214,Mean L1 in cerebral peduncle on FA skeleton (right)
25235,Mean L1 in cingulum cingulate gyrus on FA skeleton (left)
25234,Mean L1 in cingulum cingulate gyrus on FA skeleton (right)
25237,Mean L1 in cingulum hippocampus on FA skeleton (left)
25236,Mean L1 in cingulum hippocampus on FA skeleton (right)
25207,Mean L1 in corticospinal tract on FA skeleton (left)
25206,Mean L1 in corticospinal tract on FA skeleton (right)
25233,Mean L1 in external capsule on FA skeleton (left)
25232,Mean L1 in external capsule on FA skeleton (right)
25239,Mean L1 in fornix cres+stria terminalis on FA skeleton (left)
25238,Mean L1 in fornix cres+stria terminalis on FA skeleton (right)
25205,Mean L1 in fornix on FA skeleton
25202,Mean L1 in genu of corpus callosum on FA skeleton
25211,Mean L1 in inferior cerebellar peduncle on FA skeleton (left)
25210,Mean L1 in inferior cerebellar peduncle on FA skeleton (right)
25209,Mean L1 in medial lemniscus on FA skeleton (left)
25208,Mean L1 in medial lemniscus on FA skeleton (right)
25200,Mean L1 in middle cerebellar peduncle on FA skeleton
25201,Mean L1 in pontine crossing tract on FA skeleton
25227,Mean L1 in posterior corona radiata on FA skeleton (left)
25226,Mean L1 in posterior corona radiata on FA skeleton (right)
25219,Mean L1 in posterior limb of internal capsule on FA skeleton (left)
25218,Mean L1 in posterior limb of internal capsule on FA skeleton (right)
25229,Mean L1 in posterior thalamic radiation on FA skeleton (left)
25228,Mean L1 in posterior thalamic radiation on FA skeleton (right)
25221,Mean L1 in retrolenticular part of internal capsule on FA skeleton (left)
25220,Mean L1 in retrolenticular part of internal capsule on FA skeleton (right)
25231,Mean L1 in sagittal stratum on FA skeleton (left)
25230,Mean L1 in sagittal stratum on FA skeleton (right)
25204,Mean L1 in splenium of corpus callosum on FA skeleton
25213,Mean L1 in superior cerebellar peduncle on FA skeleton (left)
25212,Mean L1 in superior cerebellar peduncle on FA skeleton (right)
25225,Mean L1 in superior corona radiata on FA skeleton (left)
25224,Mean L1 in superior corona radiata on FA skeleton (right)
25243,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (left)
25242,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (right)
25241,Mean L1 in superior longitudinal fasciculus on FA skeleton (left)
25240,Mean L1 in superior longitudinal fasciculus on FA skeleton (right)
25247,Mean L1 in tapetum on FA skeleton (left)
25246,Mean L1 in tapetum on FA skeleton (right)
25245,Mean L1 in uncinate fasciculus on FA skeleton (left)
25244,Mean L1 in uncinate fasciculus on FA skeleton (right)
25271,Mean L2 in anterior corona radiata on FA skeleton (left)
25270,Mean L2 in anterior corona radiata on FA skeleton (right)
25265,Mean L2 in anterior limb of internal capsule on FA skeleton (left)
25264,Mean L2 in anterior limb of internal capsule on FA skeleton (right)
25251,Mean L2 in body of corpus callosum on FA skeleton
25263,Mean L2 in cerebral peduncle on FA skeleton (left)
25262,Mean L2 in cerebral peduncle on FA skeleton (right)
25283,Mean L2 in cingulum cingulate gyrus on FA skeleton (left)
25282,Mean L2 in cingulum cingulate gyrus on FA skeleton (right)
25285,Mean L2 in cingulum hippocampus on FA skeleton (left)
25284,Mean L2 in cingulum hippocampus on FA skeleton (right)
25255,Mean L2 in corticospinal tract on FA skeleton (left)
25254,Mean L2 in corticospinal tract on FA skeleton (right)
25281,Mean L2 in external capsule on FA skeleton (left)
25280,Mean L2 in external capsule on FA skeleton (right)
25287,Mean L2 in fornix cres+stria terminalis on FA skeleton (left)
25286,Mean L2 in fornix cres+stria terminalis on FA skeleton (right)
25253,Mean L2 in fornix on FA skeleton
25250,Mean L2 in genu of corpus callosum on FA skeleton
25259,Mean L2 in inferior cerebellar peduncle on FA skeleton (left)
25258,Mean L2 in inferior cerebellar peduncle on FA skeleton (right)
25257,Mean L2 in medial lemniscus on FA skeleton (left)
25256,Mean L2 in medial lemniscus on FA skeleton (right)
25248,Mean L2 in middle cerebellar peduncle on FA skeleton
25249,Mean L2 in pontine crossing tract on FA skeleton
25275,Mean L2 in posterior corona radiata on FA skeleton (left)
25274,Mean L2 in posterior corona radiata on FA skeleton (right)
25267,Mean L2 in posterior limb of internal capsule on FA skeleton (left)
25266,Mean L2 in posterior limb of internal capsule on FA skeleton (right)
25277,Mean L2 in posterior thalamic radiation on FA skeleton (left)
25276,Mean L2 in posterior thalamic radiation on FA skeleton (right)
25269,Mean L2 in retrolenticular part of internal capsule on FA skeleton (left)
25268,Mean L2 in retrolenticular part of internal capsule on FA skeleton (right)
25279,Mean L2 in sagittal stratum on FA skeleton (left)
25278,Mean L2 in sagittal stratum on FA skeleton (right)
25252,Mean L2 in splenium of corpus callosum on FA skeleton
25261,Mean L2 in superior cerebellar peduncle on FA skeleton (left)
25260,Mean L2 in superior cerebellar peduncle on FA skeleton (right)
25273,Mean L2 in superior corona radiata on FA skeleton (left)
25272,Mean L2 in superior corona radiata on FA skeleton (right)
25291,Mean L2 in superior fronto-occipital fasciculus on FA skeleton (left)
25290,Mean L2 in superior fronto-occipital fasciculus on FA skeleton (right)
25289,Mean L2 in superior longitudinal fasciculus on FA skeleton (left)
25288,Mean L2 in superior longitudinal fasciculus on FA skeleton (right)
25295,Mean L2 in tapetum on FA skeleton (left)
25294,Mean L2 in tapetum on FA skeleton (right)
25293,Mean L2 in uncinate fasciculus on FA skeleton (left)
25292,Mean L2 in uncinate fasciculus on FA skeleton (right)
25319,Mean L3 in anterior corona radiata on FA skeleton (left)
25318,Mean L3 in anterior corona radiata on FA skeleton (right)
25313,Mean L3 in anterior limb of internal capsule on FA skeleton (left)
25312,Mean L3 in anterior limb of internal capsule on FA skeleton (right)
25299,Mean L3 in body of corpus callosum on FA skeleton
25311,Mean L3 in cerebral peduncle on FA skeleton (left)
25310,Mean L3 in cerebral peduncle on FA skeleton (right)
25331,Mean L3 in cingulum cingulate gyrus on FA skeleton (left)
25330,Mean L3 in cingulum cingulate gyrus on FA skeleton (right)
25333,Mean L3 in cingulum hippocampus on FA skeleton (left)
25332,Mean L3 in cingulum hippocampus on FA skeleton (right)
25303,Mean L3 in corticospinal tract on FA skeleton (left)
25302,Mean L3 in corticospinal tract on FA skeleton (right)
25329,Mean L3 in external capsule on FA skeleton (left)
25328,Mean L3 in external capsule on FA skeleton (right)
25335,Mean L3 in fornix cres+stria terminalis on FA skeleton (left)
25334,Mean L3 in fornix cres+stria terminalis on FA skeleton (right)
25301,Mean L3 in fornix on FA skeleton
25298,Mean L3 in genu of corpus callosum on FA skeleton
25307,Mean L3 in inferior cerebellar peduncle on FA skeleton (left)
25306,Mean L3 in inferior cerebellar peduncle on FA skeleton (right)
25305,Mean L3 in medial lemniscus on FA skeleton (left)
25304,Mean L3 in medial lemniscus on FA skeleton (right)
25296,Mean L3 in middle cerebellar peduncle on FA skeleton
25297,Mean L3 in pontine crossing tract on FA skeleton
25323,Mean L3 in posterior corona radiata on FA skeleton (left)
25322,Mean L3 in posterior corona radiata on FA skeleton (right)
25315,Mean L3 in posterior limb of internal capsule on FA skeleton (left)
25314,Mean L3 in posterior limb of internal capsule on FA skeleton (right)
25325,Mean L3 in posterior thalamic radiation on FA skeleton (left)
25324,Mean L3 in posterior thalamic radiation on FA skeleton (right)
25317,Mean L3 in retrolenticular part of internal capsule on FA skeleton (left)
25316,Mean L3 in retrolenticular part of internal capsule on FA skeleton (right)
25327,Mean L3 in sagittal stratum on FA skeleton (left)
25326,Mean L3 in sagittal stratum on FA skeleton (right)
25300,Mean L3 in splenium of corpus callosum on FA skeleton
25309,Mean L3 in superior cerebellar peduncle on FA skeleton (left)
25308,Mean L3 in superior cerebellar peduncle on FA skeleton (right)
25321,Mean L3 in superior corona radiata on FA skeleton (left)
25320,Mean L3 in superior corona radiata on FA skeleton (right)
25339,Mean L3 in superior fronto-occipital fasciculus on FA skeleton (left)
25338,Mean L3 in superior fronto-occipital fasciculus on FA skeleton (right)
25337,Mean L3 in superior longitudinal fasciculus on FA skeleton (left)
25336,Mean L3 in superior longitudinal fasciculus on FA skeleton (right)
25343,Mean L3 in tapetum on FA skeleton (left)
25342,Mean L3 in tapetum on FA skeleton (right)
25341,Mean L3 in uncinate fasciculus on FA skeleton (left)
25340,Mean L3 in uncinate fasciculus on FA skeleton (right)
25127,Mean MD in anterior corona radiata on FA skeleton (left)
25126,Mean MD in anterior corona radiata on FA skeleton (right)
25121,Mean MD in anterior limb of internal capsule on FA skeleton (left)
25120,Mean MD in anterior limb of internal capsule on FA skeleton (right)
25107,Mean MD in body of corpus callosum on FA skeleton
25119,Mean MD in cerebral peduncle on FA skeleton (left)
25118,Mean MD in cerebral peduncle on FA skeleton (right)
25139,Mean MD in cingulum cingulate gyrus on FA skeleton (left)
25138,Mean MD in cingulum cingulate gyrus on FA skeleton (right)
25141,Mean MD in cingulum hippocampus on FA skeleton (left)
25140,Mean MD in cingulum hippocampus on FA skeleton (right)
25111,Mean MD in corticospinal tract on FA skeleton (left)
25110,Mean MD in corticospinal tract on FA skeleton (right)
25137,Mean MD in external capsule on FA skeleton (left)
25136,Mean MD in external capsule on FA skeleton (right)
25143,Mean MD in fornix cres+stria terminalis on FA skeleton (left)
25142,Mean MD in fornix cres+stria terminalis on FA skeleton (right)
25109,Mean MD in fornix on FA skeleton
25106,Mean MD in genu of corpus callosum on FA skeleton
25115,Mean MD in inferior cerebellar peduncle on FA skeleton (left)
25114,Mean MD in inferior cerebellar peduncle on FA skeleton (right)
25113,Mean MD in medial lemniscus on FA skeleton (left)
25112,Mean MD in medial lemniscus on FA skeleton (right)
25104,Mean MD in middle cerebellar peduncle on FA skeleton
25105,Mean MD in pontine crossing tract on FA skeleton
