code,Field title
25639,Weighted-mean L3 in tract middle cerebellar peduncle
25629,Weighted-mean L3 in tract parahippocampal part of cingulum (left)
25630,Weighted-mean L3 in tract parahippocampal part of cingulum (right)
25642,Weighted-mean L3 in tract posterior thalamic radiation (left)
25643,Weighted-mean L3 in tract posterior thalamic radiation (right)
25644,Weighted-mean L3 in tract superior longitudinal fasciculus (left)
25645,Weighted-mean L3 in tract superior longitudinal fasciculus (right)
25646,Weighted-mean L3 in tract superior thalamic radiation (left)
25647,Weighted-mean L3 in tract superior thalamic radiation (right)
25648,Weighted-mean L3 in tract uncinate fasciculus (left)
25649,Weighted-mean L3 in tract uncinate fasciculus (right)
25515,Weighted-mean MD in tract acoustic radiation (left)
25516,Weighted-mean MD in tract acoustic radiation (right)
25517,Weighted-mean MD in tract anterior thalamic radiation (left)
25518,Weighted-mean MD in tract anterior thalamic radiation (right)
25519,Weighted-mean MD in tract cingulate gyrus part of cingulum (left)
25520,Weighted-mean MD in tract cingulate gyrus part of cingulum (right)
25523,Weighted-mean MD in tract corticospinal tract (left)
25524,Weighted-mean MD in tract corticospinal tract (right)
25525,Weighted-mean MD in tract forceps major
25526,Weighted-mean MD in tract forceps minor
25527,Weighted-mean MD in tract inferior fronto-occipital fasciculus (left)
25528,Weighted-mean MD in tract inferior fronto-occipital fasciculus (right)
25529,Weighted-mean MD in tract inferior longitudinal fasciculus (left)
25530,Weighted-mean MD in tract inferior longitudinal fasciculus (right)
25532,Weighted-mean MD in tract medial lemniscus (left)
25533,Weighted-mean MD in tract medial lemniscus (right)
25531,Weighted-mean MD in tract middle cerebellar peduncle
25521,Weighted-mean MD in tract parahippocampal part of cingulum (left)
25522,Weighted-mean MD in tract parahippocampal part of cingulum (right)
25534,Weighted-mean MD in tract posterior thalamic radiation (left)
25535,Weighted-mean MD in tract posterior thalamic radiation (right)
25536,Weighted-mean MD in tract superior longitudinal fasciculus (left)
25537,Weighted-mean MD in tract superior longitudinal fasciculus (right)
25538,Weighted-mean MD in tract superior thalamic radiation (left)
25539,Weighted-mean MD in tract superior thalamic radiation (right)
25540,Weighted-mean MD in tract uncinate fasciculus (left)
25541,Weighted-mean MD in tract uncinate fasciculus (right)
25542,Weighted-mean MO in tract acoustic radiation (left)
25543,Weighted-mean MO in tract acoustic radiation (right)
25544,Weighted-mean MO in tract anterior thalamic radiation (left)
25545,Weighted-mean MO in tract anterior thalamic radiation (right)
25546,Weighted-mean MO in tract cingulate gyrus part of cingulum (left)
25547,Weighted-mean MO in tract cingulate gyrus part of cingulum (right)
25550,Weighted-mean MO in tract corticospinal tract (left)
25551,Weighted-mean MO in tract corticospinal tract (right)
25552,Weighted-mean MO in tract forceps major
25553,Weighted-mean MO in tract forceps minor
25554,Weighted-mean MO in tract inferior fronto-occipital fasciculus (left)
25555,Weighted-mean MO in tract inferior fronto-occipital fasciculus (right)
25556,Weighted-mean MO in tract inferior longitudinal fasciculus (left)
25557,Weighted-mean MO in tract inferior longitudinal fasciculus (right)
25559,Weighted-mean MO in tract medial lemniscus (left)
25560,Weighted-mean MO in tract medial lemniscus (right)
25558,Weighted-mean MO in tract middle cerebellar peduncle
25548,Weighted-mean MO in tract parahippocampal part of cingulum (left)
25549,Weighted-mean MO in tract parahippocampal part of cingulum (right)
25561,Weighted-mean MO in tract posterior thalamic radiation (left)
25562,Weighted-mean MO in tract posterior thalamic radiation (right)
25563,Weighted-mean MO in tract superior longitudinal fasciculus (left)
25564,Weighted-mean MO in tract superior longitudinal fasciculus (right)
25565,Weighted-mean MO in tract superior thalamic radiation (left)
25566,Weighted-mean MO in tract superior thalamic radiation (right)
25567,Weighted-mean MO in tract uncinate fasciculus (left)
25568,Weighted-mean MO in tract uncinate fasciculus (right)
25677,Weighted-mean OD in tract acoustic radiation (left)
25678,Weighted-mean OD in tract acoustic radiation (right)
25679,Weighted-mean OD in tract anterior thalamic radiation (left)
25680,Weighted-mean OD in tract anterior thalamic radiation (right)
25681,Weighted-mean OD in tract cingulate gyrus part of cingulum (left)
25682,Weighted-mean OD in tract cingulate gyrus part of cingulum (right)
25685,Weighted-mean OD in tract corticospinal tract (left)
25686,Weighted-mean OD in tract corticospinal tract (right)
25687,Weighted-mean OD in tract forceps major
25688,Weighted-mean OD in tract forceps minor
25689,Weighted-mean OD in tract inferior fronto-occipital fasciculus (left)
25690,Weighted-mean OD in tract inferior fronto-occipital fasciculus (right)
25691,Weighted-mean OD in tract inferior longitudinal fasciculus (left)
25692,Weighted-mean OD in tract inferior longitudinal fasciculus (right)
25694,Weighted-mean OD in tract medial lemniscus (left)
25695,Weighted-mean OD in tract medial lemniscus (right)
25693,Weighted-mean OD in tract middle cerebellar peduncle
25683,Weighted-mean OD in tract parahippocampal part of cingulum (left)
25684,Weighted-mean OD in tract parahippocampal part of cingulum (right)
25696,Weighted-mean OD in tract posterior thalamic radiation (left)
25697,Weighted-mean OD in tract posterior thalamic radiation (right)
25698,Weighted-mean OD in tract superior longitudinal fasciculus (left)
25699,Weighted-mean OD in tract superior longitudinal fasciculus (right)
25700,Weighted-mean OD in tract superior thalamic radiation (left)
25701,Weighted-mean OD in tract superior thalamic radiation (right)
25702,Weighted-mean OD in tract uncinate fasciculus (left)
25703,Weighted-mean OD in tract uncinate fasciculus (right)
